object,otype,majaxis_arcmin,minaxis_arcmin
* f02 Cyg,*,,
* g Her,AB*,,
* gam Aql,*,,
* gam CMi,SB*,,
* gam Cap,a2*,,
* gam Cas,HXB,,
* gam Cep,SB*,,
* gam Cnc,PM*,,
* gam CrB A,PM*,,
* gam Cyg,*,,
* gam Eri,LP?,,
* gam Gem,SB*,,
* gam Her,PM*,,
* gam Hyi,PM*,,
* gam Mon,*,,
* gam Oph,PM*,,
* gam Ori,*,,
* gam Peg,bC*,,
* gam Sct,*,,
* gam Sge,PM*,,
* gam UMa,Em*,,
* gam Vir,PM*,,
* gam01 And,*,0.163,0.0
* gam01 Ari,PM*,,
* gam01 Leo,PM*,,
* gam02 Leo,PM*,,
* gam02 Vel,WR*,,
* h Cen,SB*,,
* h Dra,SB*,,
* h Ori,SB*,,
* i Boo,**,,
* i Cen,SB*,,
* i Per,sg*,,
* i Sco,*,,
* i Tau,dS*,,
* iot Ara,Be*,,
* iot Cas,a2*,,
* iot Cen,PM*,,
* iot Cet,*,,
* iot CrB,SB*,,
* iot Del,SB*,,
* iot Dra,RG*,,
* iot Her,bC*,,
* iot Hya,PM*,,
* iot Lep,**,,
* iot Lib,SB*,,
* iot Ori,SB*,,
* iot Peg,SB*,,
* iot Per,PM*,,
* iot Psc,PM*,,
* iot UMa A,SB*,,
* iot Vir,PM*,,
* iot Vol,*,,
* iot01 Nor,**,0.005,0.0
* k Per,PM*,,
* k Sco,s*b,,
* kap Aql,*,,
* kap Aur,PM*,,
* kap Cap,PM*,,
* kap Cas,s*b,,
* kap Cen,bC*,,
* kap Cru,SB*,,
* kap Cyg,PM*,,
* kap Del,PM*,,
* kap Dra,Be*,,
* kap Gem,PM*,,
* kap Her A,*,,
* kap Ori,s*b,,
* kap Sco,bC*,,
* kap UMa,**,0.005,0.0
* kap Vir,PM*,,
* kap01 Cet,BY*,,
* kap02 Aps,Pu*,,
* kap02 Boo,dS*,,
* ksi Boo,BY*,,
* ksi Boo A,PM*,,
* ksi Boo B,PM*,,
* ksi Cep,**,,
* ksi Cep A,SB*,0.0017,0.0
* ksi Cyg,SB*,,
* ksi Her,LP*,,
* ksi Leo,PM*,,
* ksi Sco B,PM*,,
* ksi UMa,RS*,,
* ksi UMa A,SB*,,
* ksi UMa B,SB*,,
* ksi01 Cet,SB*,,
* ksi02 Cen,SB*,,
* l Cen,**,,
* lam And,RS*,,
* lam Aql,PM*,,
* lam Aqr,LP*,,
* lam Cep,s*b,,
* lam Eri,Be*,,
* lam Lep,**,,
* lam Lib,SB*,,
* lam Nor,**,0.0067,0.0
* lam Ori,**,,
* lam Ori A,Em*,,
* lam Peg,PM*,,
* lam Sco,bC*,,
* lam Ser,PM*,,
* lam Tau,SB*,,
* lam Tel,*,,
* lam UMi,LP*,,
* m Tau,**,,
* mu. And,PM*,,
* mu. Cas,SB*,,
* mu. Cep,s*r,,
* mu. Dra B,SB*,,
* mu. Eri,SB*,,
* mu. Gem,LP*,,
* mu. Leo,PM*,,
* mu. Lep,a2*,,
* mu. Ori,SB*,,
* mu. Ori B,SB*,,
* mu. Sgr,s*b,,
* mu. Vel,PM*,,
* mu. Vir,PM*,,
* mu.01 Cyg,Pe*,,
* mu.01 Her,**,,
* mu.02 Cnc,PM*,,
* mu.02 Her,**,,
* n Leo,SB*,,
* nu. Cap,*,,
* nu. Gem,Be*,,
* nu. Lib,*,,
* nu. Ori,SB*,,
* nu. UMa,*,,
* nu.01 CrB,*,,
* nu.01 Dra,PM*,,
* nu.02 CMa,PM*,,
* nu.02 Sco,**,,
* nu.02 Sgr,PM*,,
* o Leo,SB*,,
* o Tau,*,,
* o Vir,a2*,,
* ome Aur,PM*,,
* ome Car,Be*,,
* ome Oph,a2*,,
* ome Ori,Be*,,
* ome Sco,bC*,,
* omi And,Be*,,
* omi Aqr,Be*,,
* omi Cas,Be*,,
* omi Cet,Mi*,,
* omi Her,Be*,,
* omi Leo,SB*,,
* omi Lup,**,0.0017,0.0
* omi Per,SB*,,
* omi Pup,Be*,,
* omi Tau,SB*,,
* omi Vel,Pu*,,
* omi01 CMa,s*r,,
* omi02 Eri,PM*,,
* p Tau,dS*,,
* phi Cas,s*y,,
* phi Cen,Pu*,,
* phi Per,Be*,,
* phi01 Lup,PM*,,
* phi01 Pav,PM*,,
* phi02 Ori,PM*,,
* pi. Aqr,Be*,,
* pi. Aur,LP*,,
* pi. CMa,PM*,,
* pi. Cap,SB*,,
* pi. Cet,SB*,,
* pi. Her,*,,
* pi. Lup,**,,
* pi. Sco,SB*,,
* pi. Ser,*,,
* pi. Vir,SB*,,
* pi.01 Cyg,SB*,,
* pi.01 UMa,BY*,,
* pi.01 UMi A,PM*,,
* pi.02 Cyg,SB*,0.0017,0.0
* pi.03 Ori,PM*,,
* pi.04 Ori,SB*,,
* psi And,**,,
* psi Cen,PM*,,
* psi Per,Be*,,
* psi UMa,PM*,,
* psi01 Ori,Be*,,
* psi02 Aqr,Be*,,
* psi02 Aur,PM*,,
* psi02 Ori,bC*,,
* q Pup,PM*,,
* q Tau,SB*,,
* r Her,SB*,,
* rho Aur,SB*,,
* rho Boo,PM*,,
* rho Cas,LP*,,
* rho Cet,*,,
* rho Gem,PM*,,
* rho Her B,*,,
* rho Leo,s*b,,
* rho Oph A,SB*,,
* rho Oph B,*,,
* rho Ori,SB*,,
* rho Per,LP*,,
* rho Psc,*,,
* rho Pup,dS*,,
* rho Vir,dS*,,
* rho01 Cnc,PM*,,
* rho03 Eri,PM*,,
* s Eri,SB*,,
* sig Ara,*,,
* sig Ari,*,,
* sig Boo,PM*,,
* sig Cyg,s*b,,
* sig Gem,RS*,0.075166665,0.067833334
* sig Leo,PM*,,
* sig Lup,El*,,
* sig Ori E,Y*O,0.005,0.0
* sig Pup,SB*,,
* sig Sco,bC*,,
* sig Sgr,**,,
* sig02 UMa,PM*,,
* t Vel,**,,
* tau Boo,PM*,,
* tau CMa,SB*,,
* tau Cas,PM*,,
* tau Cnc,*,,
* tau CrB,PM*,,
* tau Cyg,dS*,0.015,0.0
* tau Dra,PM*,,
* tau Gem,PM*,,
* tau Her,Pu*,,
* tau Lib,SB*,,
* tau Ori,*,,
* tau Pav,*,,
* tau Peg,dS*,,
* tau Per,SB*,,
* tau Sco,*,,
* tau Tau,SB*,,
* tau UMa,SB*,,
* tau07 Ser,**,,
* tau09 Eri,a2*,,
* tet And,**,,
* tet Boo,PM*,,
* tet Car,SB*,,
* tet Cen,PM*,,
* tet Cir,Be*,,
* tet CrB,Be*,0.013,0.0
* tet Cyg,PM*,,
* tet Dra,SB*,,
* tet Her,*,,
* tet Leo,PM*,,
* tet Lyr,*,,
* tet Mus,WR*,,
* tet Oph,bC*,,
* tet Per,PM*,,
* tet Psc,PM*,,
* tet Sco,*,,
* tet UMa,PM*,,
* tet Vir,**,,
* tet01 Mic,a2*,0.0033,0.0
* tet01 Ori A,Ae*,,
* tet01 Ori B,EB*,,
* tet01 Ori C,SB*,,
* tet01 Ori D,Y*O,,
* tet01 Ori G,Y*O,,
* tet01 Tau,SB*,,
* tet02 Ori A,SB*,,
* tet02 Ori B,Y*O,,
* tet02 Tau,dS*,,
* ups And,PM*,,
* ups Cyg,Be*,,
* ups Oph,SB*,0.015,0.0
* ups Ori,SB*,,
* ups Peg,PM*,,
* ups Per,PM*,,
* ups Sco,*,,
* ups Sgr,Be*,,
* ups02 Cas,Pe*,,
* ups02 Eri,PM*,,
* v Cen,*,,
* y Car,sg*,,
* y Vel,Pe*,,
* z Vel,*,,
* zet CMa,Ce*,,
* zet Cas,bC?,,
* zet Crv,Be*,,
* zet Dra,**,,
* zet Eri,SB*,,
* zet Her,SB*,,
* zet Hya,PM*,,
* zet Leo,*,,
* zet Lep,*,,
* zet Mon,*,,
* zet Oph,Be*,,
* zet Ori A,SB*,,
* zet Ori B,*,,
* zet Per,s*b,,
* zet Psc B,SB*,,
* zet Pup,BY*,,
* zet Sgr,**,0.01,0.0
* zet Tau,Be*,,
* zet UMi,V*,,
* zet01 Aqr,PM*,,
* zet01 Cnc,**,,
* zet01 Sco,s*b,,
* zet04 Lib,*,,
** LCS    9,Y*?,,
14P  8,Rad,,
15V  8,Rad,,
15V 30,Rad,,
15V 44,Rad,,
18P  59,HII,2.3,1.4
19P 39,Rad,,
1A 0535-668,HXB,,
1AXG J012052-7335,X,,
1AXG J034514+2440,X,,
1AXG J043244+1802,X,,
1B 910424,gB,,
1B 910429,gB,,
1B 910518B,gB,,
1B 910601,gB,,
1B 910626,gB,,
1B 910629,gB,,
1B 910814,gB,,
1B 910905,gB,,
1B 911016,gB,,
1B 911118,gB,,
1B 911202,gB,,
1B 911210,gB,,
1E 0354.6-3650,**,,
1E 0439.3-1102,X,,
1E 0630.4+1848,X,,
1E 114125+2007.2,X,,
1E 114211+1954.3,X,,
1E 1408+52.3,*,,
1ES 0215-02.1,X,,
1ES 0303+06.7,X,,
1ES 0737+39.5,X,,
1ES 1047+07.0,X,,
1ES 1241+72.3,X,,
1ES 1457+03.3,X,,
1ES 1616+43.6,X,,
1ES 1702+48.2,X,,
1ES 2039+75.8,X,,
1H 0055+753,X,,
1H 0102+017,X,,
1H 0130+473,QSO,,
1H 0201-029,QSO,,
1H 0219+625,X,,
1H 0247-370,X,,
1H 0256-617,X,,
1H 0324+674,X,,
1H 0326+787,X,,
1H 0336-434,X,,
1H 0342-392,X,,
1H 0410+529,X,,
1H 0427+177,X,,
1H 0443+836,X,,
1H 0451-560,X,,
1H 0455+134,X,,
1H 0504-290,X,,
1H 0520+121,X,,
1H 0525+340,X,,
1H 0543-289,X,,
1H 0546-439,X,,
1H 0613+479,X,,
1H 0627-563,X,,
1H 0633+049,X,,
1H 0637+535,X,,
1H 0646+152,X,,
1H 0655+375,X,,
1H 0705-812,X,,
1H 0707+443,X,,
1H 0723-749,X,,
1H 0725-132,X,,
1H 0757-384,X,,
1H 0802-469,X,,
1H 0806-545,X,,
1H 0823+301,X,,
1H 0834-793,X,,
1H 0921+633,X,,
1H 0926-362,X,,
1H 1005-365,X,,
1H 1006-472,X,,
1H 1109-783,X,,
1H 1120+423,X,,
1H 1247+755,X,,
1H 1303-047,X,,
1H 1305+466,X,,
1H 1356+566,X,,
1H 1357+033,X,,
1H 1426+120,X,,
1H 1427+013,X,,
1H 1448+415,X,,
1H 1521+083,X,,
1H 1521+308,X,,
1H 1530-754,X,,
1H 1645-519,X,,
1H 1652-180,X,,
1H 1715-321,LXB,,
1H 1905+550,X,,
1H 1911-389,X,,
1H 1917+141,X,,
1H 1926+182,X,,
1H 1942+607,X,,
1H 1948+276,X,,
1H 2017-021,X,,
1H 2018-529,X,,
1H 2044-032,err,,
1H 2108+019,X,,
1H 2118-342,X,,
1H 2150+171,X,,
1H 2159+642,X,,
1H 2200+609,X,,
1H 2206-052,X,,
1H 2217-392,X,,
1H 2251+450,X,,
1H 2336-864,X,,
1RXH J153456.1+232822,GrG,,
1RXS J091657.6-194613,WD*,,
1RXS J124830.1-594449,Or*,,
1RXS J175548.3+623641,ClG,29.944,29.944
1RXS J194343.1+500440,WD*,,
1RXS J225352.8+624354,HXB,,
22P 27,Rad,,
22P 58,Rad,,
22P 62,Rad,,
22P 69,Rad,,
22P 73,Rad,,
22P 82,Rad,,
23P  3,Rad,,
23P 15,Rad,,
23P 26,Rad,,
23P 29,Rad,,
23P 32,Rad,,
23P 37,Rad,,
23P 42,Rad,,
23P 58,Rad,,
23P 59,Rad,,
26P   3,Sy1,,
28P  86,Rad,,
29P 25,Rad,,
29P 32,Rad,,
29P 38,Rad,,
2A 0251+413,ClG,,
2A 0626-541,SCG,,
2B 920318,gB,,
2B 920408,gB,,
2B 920615B,gB,,
2B 920730,gB,,
2B 921214,gB,,
2B 930131,gB,,
2C   26,BLL,,
2C   94,Sy2,0.526897,0.443805
2C  317,LIN,0.313,0.169
2C  524,Sy2,,
2C  608,rG,,
2C 1473,Sy2,0.467,0.42
2E   115,Sy1,,
2E   123,X,,
2E   141,Sy1,0.177,0.138
2E   152,X,,
2E   157,XB?,,
2E   164,XB?,,
2E   171,ClG,,
2E   280,AGN,,
2E   407,X,,
2E   418,GlC,,
2E   437,Sy1,,
2E   711,ClG,,
2E   756,ULX,,
2E   792,Sy1,,
2E   962,Sy1,,
2E  1485,ClG,,
2E  1831,LXB,,
2E  2334,Sy2,0.408647,0.39083
2E  2370,Sy1,,
2E  2592,Sy1,,
2E  2688,Sy1,0.14,0.14
2E  3546,Sy1,0.34,0.29
2E  3716,Sy1,,
2E  3938,HXB,,
2E  4144,Sy1,,
2E  4784,*,,
2E  4802,ClG,,
2E 0012.7-7307,X,,
2E 0105.9-7259,X,,
2E 0132.0+3014,X,,
2E 0233.7+0649,*,,
