object,otype,majaxis_arcmin,minaxis_arcmin
MITG J1737+3740,,,
MITG J1738+4247,,,
MITG J1740+4506,,,
MITG J1745+4100,,,
MITG J1749+4719,,,
MITG J1750+4348,,,
MITG J1752+4530,,,
MITG J1756+0338,Rad,,
MITG J1800+4831,,,
MITG J1807+4252,,,
MITG J1808+3904,,,
MITG J1809+4449,,,
MITG J1810+1017,Rad,,
MITG J1810+4109,,,
MITG J1810+4511,,,
MITG J1810+4917,,,
MITG J1813+4247,,,
MITG J1813+4304,,,
MITG J1817+4915,,,
MITG J1818+3710,,,
MITG J1818+3933,,,
MITG J1819+3843,,,
MITG J1819+5030,,,
MITG J1822+3931,,,
MITG J1823+3715,,,
MITG J1825+4939,,,
MITG J1826+4401,,,
MITG J1827+4050,,,
MITG J1828+3720,,,
MITG J1832+3755,,,
MITG J1833+4530,,,
MITG J1835+1515,Rad,,
MITG J1840+3852,,,
MITG J1844+4532,,,
MITG J1847+3857,,,
MITG J1850+4958,,,
MITG J1901+4436,,,
MITG J1903+4432,,,
MITG J1912+4554,,,
MITG J1913+4706,,,
MITG J1913+4813,,,
MITG J1916+4614,,,
MITG J1918+4937,,,
MITG J1921+4333,,,
MITG J1923+4530,,,
MITG J1927+4210,,,
MITG J1936+4625,,,
MITG J1937+4104,,,
MITG J1939+3817,,,
MITG J1942+5035,,,
MITG J1947+4633,,,
MITG J1948+4857,,,
MITG J1949+3812,,,
MITG J1951+3831,,,
MITG J1954+4639,,,
MITG J1956+4045,,,
MITG J1957+4028,,,
MITG J1957+4044,,,
MITG J1957+4105,,,
MITG J1959+4122,,,
MITG J1959+4133,,,
MITG J2000+4013,,,
MITG J2001+4016,,,
MITG J2001+4033,,,
MITG J2001+4053,,,
MITG J2002+4133,,,
MITG J2003+4058,,,
MITG J2003+4505,,,
MITG J2005+4556,,,
MITG J2007+4034,,,
MITG J2009+4411,,,
MITG J2011+4527,,,
MITG J2015+3947,,,
MITG J2015+3953,,,
MITG J2015+4129,,,
MITG J2015+4337,,,
MITG J2015+4628,,,
MITG J2016+4145,,,
MITG J2016+4150,,,
MITG J2017+3956,,,
MITG J2018+3951,,,
MITG J2018+4610,,,
MITG J2019+3913,,,
MITG J2019+3932,,,
MITG J2019+4046,,,
MITG J2020+3750,,,
MITG J2020+3931,,,
MITG J2020+3958,,,
MITG J2020+4045,,,
MITG J2020+4306,,,
MITG J2021+3726,,,
MITG J2021+3932,,,
MITG J2021+4025,,,
MITG J2021+4054,,,
MITG J2021+4154,,,
MITG J2021+4159,,,
MITG J2021+4223,,,
MITG J2022+4000,,,
MITG J2022+4031,,,
MITG J2022+4135,,,
MITG J2023+3929,,,
MITG J2023+4021,,,
MITG J2023+4046,,,
MITG J2023+4101,,,
MITG J2023+4257,,,
MITG J2023+4308,,,
MITG J2024+4018,,,
MITG J2024+4156,,,
MITG J2024+4241,,,
MITG J2024+4314,,,
MITG J2024+4317,,,
MITG J2024+4346,,,
MITG J2024+4410,,,
MITG J2025+4001,,,
MITG J2025+4318,,,
MITG J2026+3959,,,
MITG J2026+4033,,,
MITG J2026+4139,,,
MITG J2026+4149,,,
MITG J2026+4208,,,
MITG J2027+3911,,,
MITG J2027+4000,,,
MITG J2027+4041,,,
MITG J2028+4129,,,
MITG J2028+4347,,,
MITG J2029+0456,Rad,,
MITG J2029+3930,,,
MITG J2029+3931,,,
MITG J2029+3952,,,
MITG J2029+4111,,,
MITG J2029+4130,,,
MITG J2029+4248,,,
MITG J2029+4331,,,
MITG J2029+4333,,,
MITG J2029+4404,,,
MITG J2030+3905,,,
MITG J2030+3925,,,
MITG J2030+4029,,,
MITG J2030+4105,,,
MITG J2030+4115,,,
MITG J2030+4159,,,
MITG J2030+4206,,,
MITG J2030+4304,,,
MITG J2030+4421,,,
MITG J2031+3855,,,
MITG J2031+3856,,,
MITG J2031+3909,,,
MITG J2031+3946,,,
MITG J2031+4003,,,
MITG J2031+4006,,,
MITG J2031+4202,,,
MITG J2031+4246,,,
MITG J2031+4327,,,
MITG J2031+4333,,,
MITG J2031+4342,,,
MITG J2031+4402,,,
MITG J2031+4431,,,
MITG J2031+4436,,,
MITG J2032+3910,,,
MITG J2032+4222,,,
MITG J2032+4333,,,
MITG J2032+4422,,,
MITG J2033+3900,,,
MITG J2033+3924,,,
MITG J2033+3949,,,
MITG J2033+4139,,,
MITG J2033+4144,,,
MITG J2033+4406,,,
MITG J2033+4534,,,
MITG J2033+4639,,,
MITG J2034+3913,,,
MITG J2034+3916,,,
MITG J2034+3956,,,
MITG J2034+4057,,,
MITG J2034+4115,,,
MITG J2034+4120,,,
MITG J2034+4401,,,
MITG J2034+4646,,,
MITG J2034+4710,,,
MITG J2035+3836,,,
MITG J2035+3949,,,
MITG J2035+4056,,,
MITG J2035+4113,,,
MITG J2035+4114,,,
MITG J2035+4132,,,
MITG J2035+4358,,,
MITG J2036+3900,,,
MITG J2036+3903,,,
MITG J2036+3949,,,
MITG J2036+4021,,,
MITG J2036+4211,,,
MITG J2036+4248,,,
MITG J2036+4356,,,
MITG J2036+4713,,,
MITG J2036+4717,,,
MITG J2037+1605,rG,,
MITG J2037+3923,,,
MITG J2037+3936,,,
MITG J2037+4037,,,
MITG J2037+4146,,,
MITG J2038+3950,,,
MITG J2038+4226,,,
MITG J2038+4229,,,
MITG J2038+4237,,,
MITG J2038+4238,,,
MITG J2039+4044,,,
MITG J2039+4111,,,
MITG J2039+4204,,,
MITG J203959+4140,Rad,,
MITG J2040+4135,,,
MITG J2040+4138,,,
MITG J2041+4119,,,
MITG J2042+3902,,,
MITG J2042+3929,,,
MITG J2042+5029,,,
MITG J2043+3949,,,
MITG J2043+4219,,,
MITG J2043+4224,,,
MITG J2043+4230,,,
MITG J2044+3935,,,
MITG J2044+4233,,,
MITG J2045+3950,,,
MITG J2045+4117,,,
MITG J2046+4127,,,
MITG J2047+3847,,,
MITG J2048+4135,,,
MITG J2049+4227,,,
MITG J2050+4311,,,
MITG J2050+4415,,,
MITG J2050+4416,,,
MITG J2051+4220,,,
MITG J2051+4345,,,
MITG J2051+4925,,,
MITG J2052+4335,,,
MITG J2052+4716,,,
MITG J2053+4333,,,
MITG J2053+4348,,,
MITG J2054+4400,,,
MITG J2054+4443,,,
MITG J2055+4301,,,
MITG J2058+4325,,,
MITG J2059+4258,,,
MITG J2059+4849,,,
MITG J2100+4347,,,
MITG J2105+4939,,,
MITG J2106+4751,,,
MITG J2106+5015,,,
MITG J2109+5012,,,
MITG J2112+4748,,,
MITG J2114+4217,,,
MITG J2114+4815,,,
MITG J2117+4348,,,
MITG J2119+4128,,,
MITG J2120+4434,,,
MITG J2121+4346,,,
MITG J2123+1712,Rad,,
MITG J2125+3957,,,
MITG J2125+4017,,,
MITG J2126+3930,,,
MITG J2126+5055,,,
MITG J2131+3717,,,
MITG J2137+5021,,,
MITG J2138+1158,rG,,
MITG J2138+5024,,,
MITG J2140+3911,,,
MITG J2142+4410,,,
MITG J2148+3759,,,
MITG J2151+1418,Rad,,
MITG J2153+4241,,,
MITG J2154+4810,,,
MITG J2157+4440,,,
MITG J2201+4429,,,
MITG J2203+3822,,,
MITG J2205+4300,,,
MITG J2205+4912,,,
MITG J2206+0223,Rad,,
MITG J2206+4554,,,
MITG J2207+4843,,,
MITG J2209+4102,,,
MITG J2209+4328,,,
MITG J2211+4042,,,
MITG J2226+4142,,,
MITG J2227+5009,,,
MITG J2228+4418,,,
MITG J2235+4010,,,
MITG J2238+4110,,,
MITG J2238+4158,,,
MITG J2240+4332,,,
MITG J2241+4843,,,
MITG J2242+4115,,,
MITG J2243+4443,,,
MITG J2244+3846,,,
MITG J2245+4401,,,
MITG J2251+3935,,,
MITG J2251+4241,,,
MITG J2252+5026,,,
MITG J2254+4141,,,
MITG J2255+4130,,,
MITG J2304+4028,,,
MITG J2306+4652,,,
MITG J2314+3902,,,
MITG J2317+3952,,,
MITG J2317+4721,,,
MITG J2319+4718,,,
MITG J2322+4157,,,
MITG J2323+4235,,,
MITG J2323+5024,,,
MITG J2324+4632,,,
MITG J2324+5007,,,
MITG J2327+4801,,,
MITG J2327+4910,,,
MITG J2331+3806,,,
MITG J2332+4428,,,
MITG J2333+4012,,,
MITG J2339+4236,,,
MITG J2339+5004,,,
MITG J2341+4227,,,
MITG J2342+4910,,,
MITG J2352+4822,,,
MITG J2357+4420,,,
MITG J2358+4920,,,
MKW  2,ClG,,
MLA  208,WR*,,
MLA  395,WR*,,
MLA  578,WR*,,
MLCG 0165,CGG,,
MLCG 1532,CGG,,
MLLA   79,Or*,,
MLLA  267,Y*?,,
MLLA  361,Y*?,,
MLLA  532,Y*O,,
MLLA  588B,Y*O,,
MLLA  752B,*,,
MLLA  773A,Y*?,,
MLLA  800,Y*O,,
MLLA  906,*,,
MLLA  923,Or*,,
MO 1-104,*,,
MO 1-107,*,,
MO 1-111,*,,
MO 1-114,*,,
MO 1-118,*,,
MO 1-119,*,,
MO 1-127,*,,
MO 1-131,*,,
MO 1-139,*,,
MO 1-156,*,,
MO 1-179,*,,
MO 1-180,*,,
MO 1-225,*,,
MO 1-249,*,,
MO 1-33,*,,
MO 1-41,*,,
MO 1-49,*,,
MO 1-55,*,,
MO 1-65,*,,
MO 1-86,*,,
MODS deep  420,G,,
MODS deep  577,G,,
MODS deep  687,G,,
MODS deep  815,G,,
MODS deep  997,G,,
MODS deep 1009,G,,
MODS deep 1025,G,,
MODS deep 1108,G,,
MODS deep 1253,G,,
MODS deep 1278,PoG,,
MODS deep 1342,G,,
MODS deep 1351,PoG,,
MODS deep 1352,EmG,,
MODS deep 1444,G,,
MODS deep 1459,G,,
MODS deep 1642,G,,
MODS deep 1651,G,,
MODS deep 1702,G,,
MODS deep 1721,G,,
MODS deep 1725,G,,
MODS deep 1817,G,,
MODS deep 1835,G,,
MODS deep 1845,G,,
MODS deep 1853,G,,
MODS deep 1878,G,,
MODS deep 1895,G,,
MODS deep 1957,G,,
MODS deep 1982,EmG,,
MODS deep 2003,G,,
MODS deep 2081,G,,
MODS deep 2113,PoG,,
MODS deep 2123,G,,
MODS deep 2228,G,,
MODS deep 2289,G,,
MODS deep 2310,G,,
MODS deep 2314,G,,
MODS deep 2316,PoG,,
MODS deep 2477,G,,
MODS deep 2556,PoG,,
MODS deep 2563,G,,
MODS deep 2672,PoG,,
MODS deep 2711,PoG,,
MODS deep 2748,G,,
MODS deep 2763,G,,
MODS deep 2828,G,,
MODS deep 3109,EmG,,
MODS deep 3136,G,,
MODS deep 3156,G,,
MODS deep 3210,G,,
MODS deep 3304,G,,
MODS wide  5593,G,,
MPWK 0211+330,Rad,,
MPWK 1156+495,Rad,,
MPWK 1203+499,Rad,,
MR  35,s*b,,
MR  39,WR*,,
MR  55,WR*,,
MR  67,WR*,,
MR  89,WR*,,
MR  93,WR*,,
MR 112,WR*,,
MR 114,WR*,,
MRC 1138-262,rG,,
MSB 53,C*,,
MSH 22+0-01,Rad,,
MSX LMC  332,LP*,0.0666667,0.0666667
MSX5C G014.9957-00.6735,MIR,,
MSX6C G023.2637+00.0744,Y*O,0.076,0.076
MSX6C G025.3953+00.0336,Y*O,0.077,0.077
MSX6C G026.4700+00.0207,s*b,1.3333334,1.3333334
MWMM V14,Ce*,,
MWMM V20,Ce*,,
MWMM V27,Ce*,,
MWMM V29,Ce*,,
MWMM V33,Ce*,,
MWMM V9,Ce*,,
MWP 1,PN,,
MY 071022.2+343639.1,Rad,,
MacC 25,*,,
MacC 31,*,,
MacC 34,*,,
MacC C,*,,
MacC E,*,,
MacC I,*,,
MacC J,*,,
MacC sH1,*,,
MacC sH3,*,,
MacC sH5,*,,
MacC sv8,*,,
MacC v8,*,,
Min 1-92,pA*,,
Min 3-60,LP?,,
Mrk    3,Sy2,0.99,0.812
Mrk    9,Sy1,0.5237,0.517311
Mrk   22,Sy1,0.444887,0.256655
Mrk   33,AGN,1.19401,0.827093
Mrk   34,Sy2,0.605023,0.508885
Mrk   37,H2G,0.342283,0.25928
Mrk   38,G,0.367,0.213
Mrk   40,Sy1,0.363,0.167
Mrk   42,Sy2,0.630557,0.505896
Mrk   47,G,0.577867,0.451372
Mrk   53,AGN,0.408253,0.278021
Mrk   55,LIN,0.347673,0.323371
Mrk   57,AGN,0.43246,0.313317
Mrk   59,rG,0.87,0.71
Mrk   63,H2G,0.147,0.147
Mrk   67,EmG,0.23,0.147
Mrk   69,Sy1,0.183,0.169
Mrk   79,Sy1,1.23877,0.989031
Mrk   96,G,0.355027,0.303122
Mrk  100,AG?,0.830617,0.779201
Mrk  102,rG,0.67115,0.572424
Mrk  105,bCG,0.417083,0.228437
Mrk  110,Sy1,0.553777,0.389028
Mrk  116,AGN,2.0,2.0
Mrk  116A,H2G,,
Mrk  116B,EmG,0.41,0.35
Mrk  140,H2G,0.507733,0.385573
Mrk  141,Sy1,0.52627,0.434436
Mrk  142,Sy1,0.213,0.183
Mrk  176,Sy2,1.207,0.241
Mrk  194,G,0.409097,0.386228
Mrk  197,H2G,0.73771,0.728931
Mrk  205,BLL,1.2,0.71
Mrk  215,bCG,0.567217,0.500512
Mrk  220,rG,1.12145,0.340025
Mrk  231,Sy1,0.814767,0.633726
Mrk  236,Sy1,0.622867,0.374779
Mrk  238,Sy1,0.851,0.758
Mrk  248,Sy2,0.477,0.267
Mrk  262,G,0.53764,0.168873
Mrk  267,SBG,0.64319,0.415629
Mrk  268,Sy2,0.92006,0.561145
Mrk  279,Sy1,0.894257,0.60568
Mrk  290,Sy1,0.427963,0.387521
Mrk  315,Sy1,0.5185,0.441192
Mrk  331,AGN,0.93952,0.664335
Mrk  335,Sy1,,
Mrk  349,EmG,0.523767,0.478094
Mrk  352,Sy1,0.73002,0.594747
Mrk  374,Sy1,0.679603,0.502839
Mrk  382,Sy1,0.703437,0.500706
Mrk  416,EmG,1.55144,0.572481
Mrk  423,Sy2,0.772777,0.493109
Mrk  431,AG?,1.27922,0.663146
Mrk  450,H2G,1.13316,0.731793
Mrk  454,H2G,0.37033,0.300634
Mrk  459,H2G,0.187,0.157
Mrk  461,Sy2,0.909247,0.654021
Mrk  464,Sy2,0.18,0.14
Mrk  469,rG,0.16,0.16
Mrk  475,AGN,0.38948,0.284087
Mrk  477,Sy2,0.44403,0.392123
Mrk  478,Sy1,,
Mrk  486,Sy1,,
Mrk  487,bCG,0.207,0.194
Mrk  493,Sy1,1.18031,0.701104
Mrk  507,Sy1,0.23,0.189
Mrk  509,Sy1,0.597383,0.488361
Mrk  513,AG?,0.451667,0.238028
Mrk  546,H2G,0.328303,0.178925
Mrk  552,GiG,0.83742,0.591051
Mrk  569,GiG,0.497863,0.359557
Mrk  573,Sy1,1.08576,1.01747
Mrk  582,GiP,0.353,0.212
Mrk  586,Sy1,,
Mrk  599,Sy2,0.602773,0.500302
Mrk  600,AG?,0.676757,0.372622
Mrk  618,Sy1,0.83145,0.587336
Mrk  668,BLL,0.263,0.253
Mrk  685,bCG,0.634057,0.387789
Mrk  699,Sy1,0.444307,0.382504
Mrk  705,Sy1,0.662033,0.576366
Mrk  707,Sy1,0.363873,0.274215
Mrk  724,EmG,0.33048,0.237086
Mrk  802,rG,0.455177,0.28312
Mrk  829,H2G,0.849283,0.320944
Mrk  841,Sy1,0.263,0.258
Mrk  846,H2G,0.520963,0.428909
Mrk  882,H2G,0.41109,0.204723
Mrk  892,EmG,0.612427,0.296353
Mrk  896,Sy1,0.920213,0.643965
Mrk  928A,Sy2,1.51,1.15
Mrk  937,Sy1,0.648903,0.633395
Mrk  955,Sy2,0.880407,0.591281
Mrk  960,bCG,0.703247,0.503173
Mrk  985,G,0.477,0.276
Mrk 1052,EmG,1.68544,0.831429
Mrk 1066,Sy2,0.94,0.451
Mrk 1104,rG,0.697397,0.653182
Mrk 1114,rG,0.5288,0.316804
Mrk 1125,G,0.507503,0.329065
Mrk 1197,GiG,0.6,0.372
Mrk 1198,G,0.89,0.356
Mrk 1210,Sy2,0.844153,0.824653
Mrk 1279,H2G,0.742863,0.50017
Mrk 1304,rG,0.69088,0.426135
Mrk 1307,Sy1,0.60083,0.543631
Mrk 1407,AG?,0.75826,0.403773
Mrk 1446,H2G,0.419617,0.384663
Mrk 1498,Sy2,0.614243,0.510436
Mrk 1501,Bla,0.247,0.178
Mrk 1502,Sy1,0.48,0.35
Mrk 1506,Bla,0.51,0.326
Muzzio   II-10,*,,
Muzzio   II-19,*,,
Muzzio   II-34,*,,
Muzzio   II-37,*,,
Muzzio   II-53,*,,
Muzzio   II-56,*,,
Muzzio   II-7,*,,
Muzzio  III-5,*,,
NAME 30 Dor Nebula,SFR,40.0,25.0
NAME 3C 330G2,Sy2,,
NAME AFGL 5142 Cluster,Cl*,,
NAME AQR A SUPERCL,SCG,,
NAME Andromeda II,G,10.359,10.359
NAME Andromeda III,G,4.22,4.22
NAME Antennae,IG,,
NAME Aquarius Dwarf,G,1.12,0.5733333
NAME Aquila Supershell,HI,,
NAME Aur A,Rad,,
NAME Aveni-Hunter 1,OpC,59.5,59.5
NAME BL Lac,BLL,1.05e-05,5.6666668e-06
NAME BOO SUPERCL,SCG,,
NAME Barn 30 I,Cld,,
NAME Barnard's Loop,HII,,
NAME Barnard's star,BY*,,
NAME Burnham's Nebula,HII,,
NAME Cancer Cluster,ClG,,
NAME Car-Sgr Arm,PoG,,
NAME Carina dSph,G,19.9333,19.9333
NAME Cartwheel,EmG,0.785343,0.482201
NAME Cas 2,GiG,,
NAME Cas A,SNR,5.0,5.0
NAME Centaurus A,BLL,25.7,17.78
NAME Cep E,HII,,
NAME Cepheus A,SFR,,
NAME Cepheus Cloud,SFR,,
NAME Cepheus Flare,MoC,,
NAME Cha 1,MoC,,
NAME Cha II,MoC,,
NAME Chamaeleon Region,SFR,480.0,420.0
NAME CoKu Tau 1,Y*O,,
NAME Corona Australis Cloud,MoC,600.0,540.0
NAME Coronet Cluster,Cl*,,
NAME Cyg A,Bla,0.603,0.507
NAME Cyg A Cluster,ClG,,
NAME Cyg Complex,reg,,
NAME Cyg Loop,SNR,230.0,160.0
NAME Cyg Superbubble,PoC,1080.0,780.0
NAME Cyg X FIR 33,Y*O,,
NAME DEM S 68SE,SNR,3.3,1.8
NAME DR 21(OH) MM 2,Mas,,
NAME Dra dSph,G,15.8,15.8
NAME Duck Nebula,smm,,
NAME Duck Redux,SNR,35.0,35.0
NAME E 2,Cl*,0.92,0.92
NAME E 3,GlC,7.2,7.2
NAME Eridanus Star Cluster,GlC,,
NAME Eridanus X-Ray Source,X,,
NAME FGN,ISM,,
NAME Flame Nebula,HII,,
NAME Fornax Dwarf Spheroidal,G,27.5,27.5
NAME Fornax H3,GlC,,
NAME Fornax H4,GlC,0.32,0.262
NAME Fornax H5,GlC,0.337,0.29
NAME Fourcade-Figueroa,AG?,11.48,1.74
NAME GUM Nebula,ISM,300.0,300.0
NAME Gal Center Snake,Rad,,
NAME Galactic CENTRE LOBE,Rad,,
NAME Galactic Center,reg,,
NAME Geminga,Psr,,
NAME Great Attractor,SCG,,
NAME HERCULES SUPERCL,SCG,,
NAME HH 1-2,HH,,
NAME HH 240-241,DNe,1.0333333,0.8
NAME HH 290 IRS,HH,0.233,0.14
NAME HH 7-11,FIR,,
NAME HH 86-87-88,?,,
NAME HHL 73 IRS 1,Y*?,,
NAME HI 1225+01,HI,,
NAME Her 36SE,Y*O,,
NAME Her B,Bla,,
NAME Hercules A,SyG,0.44846,0.270018
NAME Hodge 11,GlC,2.7,2.7
NAME Hodge 3,GlC,1.8,1.8
NAME Hodge 4,GlC,1.66,1.66
NAME Homunculus Nebula,ISM,,
NAME Horsehead Nebula,DNe,6.0,4.0
NAME Hubble Deep Field,reg,,
NAME Hya A,LIN,1.17934,0.792752
NAME Hydra I Cluster,ClG,20.416666,20.416666
NAME IC 1396 North,CGb,0.43,0.35
NAME IC 342 Group,GrG,,
NAME IC 4329 Group,GrG,,
NAME II Zw 70-71,,,
NAME III CEP ASSOC,As*,,
NAME K 3-50A,HII,,
NAME Kutner's Cloud,MoC,,
NAME LDN 1551 II,Cld,,
NAME LDN 1641 North,HII,,
NAME LDN 637 I,Cld,,
NAME LDN 637 II,Cld,,
NAME LDN 666 IV,Cld,,
NAME LDN 723 III,Cld,,
NAME LDN 810 IRS,HII,,
NAME LEP SUPERCL,SCG,,
NAME LMC,G,322.82666,274.77
NAME LMC 4 Supergiant Shell,sh,77.4,75.4
NAME LMC 7 Supergiant Shell,HII,,
NAME LMC Bar,PoG,,
NAME Leo A,G,4.25,2.04
NAME Lower's Nebula,HII,,
NAME Lupus Complex,SFR,660.0,480.0
NAME Lupus SN,SNR,30.0,30.0
NAME M 81-82 Group,GrG,,
NAME M33 FUV 297,*,,
NAME M33 FUV 420,UV,,
NAME M33 X-7,HXB,,
NAME MONOCEROS NEB,SNR,220.0,220.0
NAME MS 0302+17 Supercluster,SCG,,
NAME MSH 11-61A,SNR,19.0,14.0
NAME Maddalena Cloud,MoC,,
NAME Magellanic Clouds,GrG,,
NAME Magellanic Stream,HVC,,
NAME Majaess 69,OpC,,
NAME Mayall II,GlC,0.0283,0.0283
NAME Mon I,MoC,300.0,210.0
NAME Mon OB1 D,PoC,,
NAME Mon OB1 G,PoC,,
NAME Mon R2,HII,60.0,90.0
NAME Mon R2 IRS,IR,,
NAME Mon R2 IRS 3NE,Y*O,,
NAME Mon R2 IRS 4,*,,
NAME Mon R2 Stellar Cluster,Cl*,,
NAME Mon V,Cld,,
NAME NCP,reg,,
NAME NGC 134 Group,GrG,,
NAME NGC 1569 CL* A,Cl*,,
NAME NGC 2300 Group,GrG,,
NAME NGC 3628 Tail,PoG,,
NAME NGC 3690 East,AGN,2.24,1.62
NAME NGC 3690 West,GiP,2.9,2.1
NAME NGC 4278 Group,GrG,,
NAME NGC 4636 Group,GrG,,
NAME NGC 4696 Group,GrG,,
NAME NGC 5353 Radio Supernebula,Cl*,,
NAME NGC 5424 Group,GrG,,
NAME NGC 6334-IV,Cl*,2.0,2.0
NAME NGC 6334F (C),HII,,
NAME NGC 6334V Western Nebula,IR,,
NAME NGC 7819 Group,GrG,,
NAME Norma Cloud,Cld,,
NAME Norma III,PoG,,
NAME OMC 2 IRS 4,IR,,
NAME OMC-1,MoC,7.0,4.0
NAME OMC-2 IRS 3,HII,,
NAME OMC1 Ridge,reg,,
NAME Ophiuchus Molecular Cloud,SFR,600.0,480.0
NAME Ori A,MoC,420.0,120.0
NAME Ori B,MoC,360.0,270.0
NAME Ori Complex,Cld,,
NAME Ori I,As*,,
NAME Ori Trapezium,OpC,,
NAME Origem Loop,SNR,400.0,400.0
NAME Orion Northern Filament,MoC,279.0,279.0
NAME Orion Peak 1,PoC,,
NAME Orion S,reg,,
NAME Orion-KL,SFR,,
NAME PCG 11,WR*,,
NAME PD 2,AG?,0.64,0.461
NAME PegDIG,G,5.0,3.0
NAME Per Arm,PoG,,
NAME Per B,SyG,,
NAME Per VI,Cld,,
NAME Phoenix Dwarf Galaxy,Sy1,4.9,4.1
NAME Pic A,Sy1,0.527163,0.361581
NAME Pisces II,G,,
NAME Pup A,SNR,60.0,50.0
NAME Puppis,reg,,
NAME Pyxis Cluster,GlC,,
NAME Quintuplet Cluster,OpC,0.5,0.5
NAME Rapid Burster,LXB,,
NAME Ret,GlC,3.88,3.88
NAME Rosette Molecular Cloud,MoC,280.2,127.8
NAME Rosette Nebula,HII,,
NAME Rosette OB Association,As*,,
NAME S254-258 complex,SFR,25.0,13.0
NAME SDG,G,,
NAME SDIG,AG?,1.2,0.95
NAME SERPENS SMM 3,Y*O,,
NAME SFO 12 IR Stellar Group,Cl*,,
NAME SH 2-106 IR,Y*O,,
NAME SH 2-235 IR Cluster,Cl*,,
NAME SMC,G,158.11333,93.105
NAME SMM J21536+1741,BiC,0.163,0.163
NAME SUPERCL UMA,SCG,,
NAME Scl Group,GrG,,
NAME Sculptor Dwarf Galaxy,G,15.2667,15.2667
NAME Scutum Supershell,sh,,
NAME Serpens Cloud,SFR,,
NAME Serpens Dwarf,GlC,9.6,9.6
NAME Sex A,H2G,5.9,4.9
NAME Sextans B,H2G,4.3,4.3
NAME Sextans dSph,LSB,52.2,52.2
NAME Sgr A B,Rad,,
NAME Sgr A D,Em*,,
NAME Sgr A East,SNR,3.5,2.5
NAME Sgr A Region,reg,,
NAME Sgr A West,HII,,
NAME Sgr A*,X,,
NAME Sgr A-E,Rad,,
NAME Sgr A-F,Rad,,
NAME Sgr B,MoC,,
NAME Sgr B2,MoC,,
NAME Sgr B2 (North),Rad,,
NAME Sgr B2 (South),HII,,
NAME Sgr B2 HII BB,HII,,
NAME Sgr B2 HII C,HII,,
NAME Sgr B2 HII F,HII,,
NAME Sgr B2 HII F2,HII,,
NAME Sgr B2 HII F3,HII,,
NAME Sgr B2 HII I,HII,,
NAME Sgr B2 HII K1,HII,,
NAME Sgr B2 HII K3,HII,,
NAME Sgr B2 HII P,HII,,
NAME Sgr B2 HII R,HII,,
NAME Sgr B2 HII X,HII,,
NAME Sgr B2 HII Z,HII,,
NAME Sgr C,MoC,3.3333333,3.0
NAME Sgr D HII,HII,,
NAME Sh 2-187 B,HII,,
NAME Slow Burster,LXB,,
NAME South America,rG,0.277,0.155
NAME Sz 46N,Or*,,
NAME Taffy System,PaG,,
NAME Tau-Aur Complex,SFR,,
NAME Taurus Complex,SFR,450.0,300.0
NAME Tornado Nebula,SNR,8.0,3.0
NAME UCD-FORS 50,GlC,0.00111,0.00111
NAME UMi Galaxy,G,32.2333,32.2333
NAME Ursa Major Moving Group,MGr,,
NAME V380 Ori-NE,*,,
NAME V633 Cas B,Y*O,,
NAME VLA 1623-243,Y*O,6.2,0.0
NAME Vela Pulsar,Psr,,
NAME Vela XYZ,SNR,255.0,255.0
NAME Virgo Cluster,ClG,,
NAME W 3 OH,HII,,
NAME W 49A South,HII,1.1666666,1.1666666
NAME W 5 East,MoC,,
NAME W 51 IRS 1,HII,,
NAME W3 IRS 5,Y*O,,
NAME WL 20E,TT*,,
NAME Wolf-Lundmark-Melotte,G,11.5,4.0
NAME [BM89] B35A,PoC,,
NAME [BM89] B5,DNe,,
NAME [BM89] L1400,DNe,5.0,5.0
NAME [BM89] L1400K,PoC,,
NAME [BM89] L1506,PoC,,
NAME [BM89] L1521E,DNe,,
NAME [BM89] L1523,PoC,4.2,6.0
NAME [BM89] L1544,cor,,
NAME [BM89] TMC-2,PoC,,
NAME [G2012b] C037,G,,
NAME rho Oph A Cloud,MoC,,
NAME the Seashell,EmG,0.48,0.317
NAME vZ 1128,pA*,,
NBGG 13-03,GrG,,
NBGG 41-08,GrG,,
NBGG 41-14,GrG,,
NBGG 52-12,GrG,,
NBGG 62-03,GrG,,
NBGG 64-08,GrG,,
NBGG 70-01,GrG,,
NEK 13.4+00.3,Rad,,
NEK 133.3-01.5,Rad,,
NEK 137.2+00.9,Rad,,
NEK 154.4-01.8,Rad,,
NEK 16.8-01.5,Rad,,
NEK 164.1-00.6,Rad,,
NEK 167.7+01.9,Rad,,
NEK 168.8+00.8,Rad,,
NEK 169.9+01.2,Rad,,
NEK 173.9+00.9,Rad,,
NEK 175.5-01.9,Rad,,
NEK 177.7-00.7,Rad,,
NEK 179.3+01.2,Rad,,
NEK 179.6-01.3,Rad,,
NEK 181.4+00.4,Rad,,
NEK 183.7+01.9,Rad,,
NEK 183.9-00.5,Rad,,
NEK 186.4-01.6,Rad,,
NEK 186.9-00.2,Rad,,
NEK 194.3-01.1,Rad,,
NEK 196.2-01.0,Rad,,
NEK 197.3+02.0,Rad,,
NEK 20.5-01.7,Rad,,
NEK 200.0-01.1,Rad,,
NEK 211.5-00.2,Rad,,
NEK 216.4+02.4,Rad,,
NEK 229.3+01.0,Rad,,
NEK 233.4-01.5,Rad,,
NEK 234.8-02.2,Rad,,
